中,英文,日文,原產地,養殖/種植,生境,食用部位,食物種類,,域,,界,,門,,亞門,,綱,,亞綱,,目,,科,,亞科,,屬,,種,,
黑粉菌,,,,,,,,11/23/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,黑粉菌亞門,Ustilaginomycotina,黑粉菌綱,Ustilaginomycetes,,,黑粉菌目,Ustilaginales,黑粉菌科,Ustilaginaceae,,,黑粉菌屬,Ustilago,,,黑粉菌：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 黑粉菌亞門(Ustilaginomycotina) > 黑粉菌綱(Ustilaginomycetes) > 黑粉菌目(Ustilaginales) > 黑粉菌科(Ustilaginaceae) > 黑粉菌屬(Ustilago)
可口革囊星蟲（土筍凍）,,,,,,,,8/31/18,眞核域,Eukaryota,動物界,Metazoa,環節動物門,Annelida,,,多毛綱,Polychaeta,星蟲亞綱,Sipuncula,革囊星蟲目,Phascolosomatiformes,革囊星蟲科,Phascolosomatidae,,,革囊星蟲屬,Phascolosoma,可口革囊星蟲,Phascolosoma esculenta,可口革囊星蟲（土筍凍）：眞核域(Eukaryota) > 動物界(Metazoa) > 環節動物門(Annelida) > 多毛綱(Polychaeta) > 星蟲亞綱(Sipuncula) > 革囊星蟲目(Phascolosomatiformes) > 革囊星蟲科(Phascolosomatidae) > 革囊星蟲屬(Phascolosoma) > 可口革囊星蟲(Phascolosoma esculenta)
海腸,,,,,,,,11/15/18,眞核域,Eukaryota,動物界,Metazoa,環節動物門,Annelida,,,多毛綱,Polychaeta,螠蟲亞綱,Echiura,無管螠目,Xenopneusta,刺螠科,Urechidae,,,刺螠屬,Urechis,單環刺螠,Urechis unicinctus,海腸：眞核域(Eukaryota) > 動物界(Metazoa) > 環節動物門(Annelida) > 多毛綱(Polychaeta) > 螠蟲亞綱(Echiura) > 無管螠目(Xenopneusta) > 刺螠科(Urechidae) > 刺螠屬(Urechis) > 單環刺螠(Urechis unicinctus)
竹蟲,,,,,,,,11/24/18,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,六足亞門,Hexapoda,䖵蟲綱,Insecta,有翅亞綱,Pterygota,鱗翅目,Lepidoptera,草螟科,Crambidae,斑野螟亞科,Spilomelinae,蠹野螟屬,Omphisa,筍蠹螟,Omphisa fuscidentalis,竹蟲：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 六足亞門(Hexapoda) > 䖵蟲綱(Insecta) > 有翅亞綱(Pterygota) > 鱗翅目(Lepidoptera) > 草螟科(Crambidae) > 斑野螟亞科(Spilomelinae) > 蠹野螟屬(Omphisa) > 筍蠹螟(Omphisa fuscidentalis)
螞蚱,,,,,,,,11/24/18,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,六足亞門,Hexapoda,䖵蟲綱,Insecta,有翅亞綱,Pterygota,直翅目,Orthoptera,,,,,,,,,螞蚱：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 六足亞門(Hexapoda) > 䖵蟲綱(Insecta) > 有翅亞綱(Pterygota) > 直翅目(Orthoptera)
小龍鰕,,,,,,,,9/29/18,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,蝲蛄科,Cambaridae,,,原螯鰕屬,Procambarus,克氏原螯鰕,Procambarus clarkii,小龍鰕：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 甲殼亞門(Crustacea) > 輭甲綱(Malacostraca) > 十足目(Decapoda) > 蝲蛄科(Cambaridae) > 原螯鰕屬(Procambarus) > 克氏原螯鰕(Procambarus clarkii)
灰眼雪蟹/松葉蟹,,ずはいがに,,,,,,12/12/18,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,蜘蛛蟹科,Majidae,,,雪蟹屬,Chionoecetes,灰眼雪蟹,Chionoecetes opilio,灰眼雪蟹/松葉蟹：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 甲殼亞門(Crustacea) > 輭甲綱(Malacostraca) > 十足目(Decapoda) > 蜘蛛蟹科(Majidae) > 雪蟹屬(Chionoecetes) > 灰眼雪蟹(Chionoecetes opilio)
波士頓龍鰕,,,,,,,,12/16/18,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,海螯鰕科,Nephropidae,,,螯龍鰕屬,Homarus,美洲螯龍鰕,Homarus americanus,波士頓龍鰕：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 甲殼亞門(Crustacea) > 輭甲綱(Malacostraca) > 十足目(Decapoda) > 海螯鰕科(Nephropidae) > 螯龍鰕屬(Homarus) > 美洲螯龍鰕(Homarus americanus)
青鰕,,,,,,,,8/27/18,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,長臂鰕科,Palaemonidae,,,沼鰕屬,Macrobrachium,,,青鰕：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 甲殼亞門(Crustacea) > 輭甲綱(Malacostraca) > 十足目(Decapoda) > 長臂鰕科(Palaemonidae) > 沼鰕屬(Macrobrachium)
明鰕/中國對鰕,,,,,,,,11/2/18,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,對鰕科,Penaeidae,,,明對鰕屬,Fenneropenaeus,明鰕,Fenneropenaeus chinensis,明鰕/中國對鰕：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 甲殼亞門(Crustacea) > 輭甲綱(Malacostraca) > 十足目(Decapoda) > 對鰕科(Penaeidae) > 明對鰕屬(Fenneropenaeus) > 明鰕(Fenneropenaeus chinensis)
基圍鰕/沙鰕,,,,,,,,11/17/18,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,對鰕科,Penaeidae,,,新對鰕屬,Metapenaeus,刀額新對鰕,Metapenaeus ensis,基圍鰕/沙鰕：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 甲殼亞門(Crustacea) > 輭甲綱(Malacostraca) > 十足目(Decapoda) > 對鰕科(Penaeidae) > 新對鰕屬(Metapenaeus) > 刀額新對鰕(Metapenaeus ensis)
草鰕/斑節對鰕/黑虎鰕,,,,,,,,12/17/18,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,對鰕科,Penaeidae,,,對鰕屬,Penaeus,草鰕,Penaeus monodon,草鰕/斑節對鰕/黑虎鰕：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 甲殼亞門(Crustacea) > 輭甲綱(Malacostraca) > 十足目(Decapoda) > 對鰕科(Penaeidae) > 對鰕屬(Penaeus) > 草鰕(Penaeus monodon)
