中,英文,日文,原產地,養殖/種植,生境,食用部位,食物種類,,域,,界,,門,,亞門,,綱,,亞綱,,目,,科,,亞科,,屬,,種,,
絞股藍,,,,,,,,11/29/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,葫蘆目,Cucurbitales,葫蘆科,Cucurbitaceae,,,絞股藍屬,Gynostemma,絞股藍,Gynostemma pentaphyllum,絞股藍：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 葫蘆目(Cucurbitales) > 葫蘆科(Cucurbitaceae) > 絞股藍屬(Gynostemma) > 絞股藍(Gynostemma pentaphyllum)
葫蘆,,,,,,,,12/9/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,葫蘆目,Cucurbitales,葫蘆科,Cucurbitaceae,,,葫蘆屬,Lagenaria,葫蘆,Lagenaria siceraria,葫蘆：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 葫蘆目(Cucurbitales) > 葫蘆科(Cucurbitaceae) > 葫蘆屬(Lagenaria) > 葫蘆(Lagenaria siceraria)
絲瓜,,,,,,,,10/25/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,葫蘆目,Cucurbitales,葫蘆科,Cucurbitaceae,,,絲瓜屬,Luffa,絲瓜,Luffa aegyptiaca,絲瓜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 葫蘆目(Cucurbitales) > 葫蘆科(Cucurbitaceae) > 絲瓜屬(Luffa) > 絲瓜(Luffa aegyptiaca)
苦瓜,,,,,,,,10/13/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,葫蘆目,Cucurbitales,葫蘆科,Cucurbitaceae,,,苦瓜屬,Momordica,苦瓜,Momordica charantia,苦瓜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 葫蘆目(Cucurbitales) > 葫蘆科(Cucurbitaceae) > 苦瓜屬(Momordica) > 苦瓜(Momordica charantia)
羅漢果,,,,,,,,10/17/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,葫蘆目,Cucurbitales,葫蘆科,Cucurbitaceae,,,羅漢果屬,Siraitia,羅漢果,Siraitia grosvenorii,羅漢果：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 葫蘆目(Cucurbitales) > 葫蘆科(Cucurbitaceae) > 羅漢果屬(Siraitia) > 羅漢果(Siraitia grosvenorii)
䒷蔞/𦸈𧁾/瓜蔞,,,,,,,,9/19/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,葫蘆目,Cucurbitales,葫蘆科,Cucurbitaceae,,,䒷蔞屬,Trichosanthes,䒷蔞,Trichosanthes kirilowii,䒷蔞/𦸈𧁾/瓜蔞：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 葫蘆目(Cucurbitales) > 葫蘆科(Cucurbitaceae) > 䒷蔞屬(Trichosanthes) > 䒷蔞(Trichosanthes kirilowii)
皁莢（皁角米/雪蓮子）,,,,,,,,10/30/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蘇木亞科,Caesalpinioideae,皁莢屬,Gleditsia,皁莢,Gleditsia sinensis,皁莢（皁角米/雪蓮子）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蘇木亞科(Caesalpinioideae) > 皁莢屬(Gleditsia) > 皁莢(Gleditsia sinensis)
決明,,,,,,,,12/10/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蘇木亞科,Caesalpinioideae,決明屬,Senna,決明,Senna obtusifolia,決明：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蘇木亞科(Caesalpinioideae) > 決明屬(Senna) > 決明(Senna obtusifolia)
酸角/羅望子,,,,,,,,9/19/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,甘豆亞科,Detarioideae,酸豆屬,Tamarindus,酸豆,Tamarindus indica,酸角/羅望子：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 甘豆亞科(Detarioideae) > 酸豆屬(Tamarindus) > 酸豆(Tamarindus indica)
花生,peanut,,,,,,,8/26/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,花生屬,Arachis,花生,Arachis hypogaea,花生：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 花生屬(Arachis) > 花生(Arachis hypogaea)
南非茶,rooibos,,,,,,,10/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,松雀花屬,Aspalathus,南非茶,Aspalathus linearis,南非茶：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 松雀花屬(Aspalathus) > 南非茶(Aspalathus linearis)
黃芪,,,,,,,,11/13/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,黃芪屬,Astragalus,,,黃芪：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 黃芪屬(Astragalus)
鷹嘴豆,chickpea,,,,,,,10/7/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,鷹嘴豆屬,Cicer,鷹嘴豆,Cicer arietinum,鷹嘴豆：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 鷹嘴豆屬(Cicer) > 鷹嘴豆(Cicer arietinum)
蝶豆花/藍蝴蝶,,,,,,,,11/11/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,蝶豆屬,Clitoria,蝶豆,Clitoria ternatea,蝶豆花/藍蝴蝶：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 蝶豆屬(Clitoria) > 蝶豆(Clitoria ternatea)
黃豆（豆腐乾、豆芽）,soya,,,,,,,8/27/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,大豆屬,Glycine,大豆,Glycine max,黃豆（豆腐乾、豆芽）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 大豆屬(Glycine) > 大豆(Glycine max)
甘草,,,,,,,,10/17/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,甘草屬,Glycyrrhiza,甘草,Glycyrrhiza uralensis,甘草：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 甘草屬(Glycyrrhiza) > 甘草(Glycyrrhiza uralensis)
小扁豆/兵豆,,,,,,,,10/24/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,兵豆屬,Lens,兵豆,Lens culinaris,小扁豆/兵豆：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 兵豆屬(Lens) > 兵豆(Lens culinaris)
草頭,,,,,,,,10/6/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,苜蓿屬,Medicago,南苜蓿,Medicago polymorpha,草頭：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 苜蓿屬(Medicago) > 南苜蓿(Medicago polymorpha)
青刀豆/四季豆,,,,,,,,8/29/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,菜豆屬,Phaseolus,菜豆,Phaseolus vulgaris,青刀豆/四季豆：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 菜豆屬(Phaseolus) > 菜豆(Phaseolus vulgaris)
紅腰豆,,,,,,,,9/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,菜豆屬,Phaseolus,菜豆,Phaseolus vulgaris,紅腰豆：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 菜豆屬(Phaseolus) > 菜豆(Phaseolus vulgaris)
豌豆,,,,,,,,9/2/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,豌豆屬,Pisum,豌豆,Pisum sativum,豌豆：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 豌豆屬(Pisum) > 豌豆(Pisum sativum)
四棱豆/龍豆,,,,,,,,12/3/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,四棱豆屬,Psophocarpus,四棱豆,Psophocarpus tetragonolobus,四棱豆/龍豆：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 四棱豆屬(Psophocarpus) > 四棱豆(Psophocarpus tetragonolobus)
葛（葛根）,,,,,,,,11/26/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,葛屬,Pueraria,山葛,Pueraria montana,葛（葛根）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 葛屬(Pueraria) > 山葛(Pueraria montana)
蠶豆（豆瓣醬）,,,,,,,,8/26/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,蠶豆屬,Vicia,蠶豆,Vicia faba,蠶豆（豆瓣醬）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 蠶豆屬(Vicia) > 蠶豆(Vicia faba)
紅豆,,,,,,,,10/3/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,豇豆屬,Vigna,紅豆,Vigna angularis,紅豆：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 豇豆屬(Vigna) > 紅豆(Vigna angularis)
綠豆（豆芽）,,,,,,,,9/2/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,豇豆屬,Vigna,綠豆,Vigna radiata,綠豆（豆芽）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 豇豆屬(Vigna) > 綠豆(Vigna radiata)
豇豆（酸豆角）,,,,,,,,9/5/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,豆目,Fabales,豆科,Fabaceae,蝶形花亞科,Papilionoideae,豇豆屬,Vigna,豇豆,Vigna unguiculata,豇豆（酸豆角）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 豆目(Fabales) > 豆科(Fabaceae) > 蝶形花亞科(Papilionoideae) > 豇豆屬(Vigna) > 豇豆(Vigna unguiculata)
榛子,,,,,,,,8/29/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,殼斗目,Fagales,樺木科,Betulaceae,,,榛屬,Corylus,,,榛子：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 殼斗目(Fagales) > 樺木科(Betulaceae) > 榛屬(Corylus)
甘栗,,,,,,,,9/5/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,殼斗目,Fagales,殼斗科,Fagaceae,,,栗屬,Castanea,歐洲栗,Castanea sativa,甘栗：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 殼斗目(Fagales) > 殼斗科(Fagaceae) > 栗屬(Castanea) > 歐洲栗(Castanea sativa)
長山核桃/碧根果,,,,,,,,10/15/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,殼斗目,Fagales,胡桃科,Juglandaceae,,,山核桃屬,Carya,長山核桃,Carya illinoinensis,長山核桃/碧根果：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 殼斗目(Fagales) > 胡桃科(Juglandaceae) > 山核桃屬(Carya) > 長山核桃(Carya illinoinensis)
核桃,chestnut,,,,,,,8/29/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,殼斗目,Fagales,胡桃科,Juglandaceae,,,胡桃屬,Juglans,,,核桃：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 殼斗目(Fagales) > 胡桃科(Juglandaceae) > 胡桃屬(Juglans)
楊梅,,,,,,,,10/3/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,殼斗目,Fagales,楊梅科,Myricaceae,,,楊梅屬,Morella,楊梅,Morella rubra,楊梅：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 殼斗目(Fagales) > 楊梅科(Myricaceae) > 楊梅屬(Morella) > 楊梅(Morella rubra)
山竹,,,,,,,,9/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,金虎尾目,Malpighiales,藤黃科,Clusiaceae,,,藤黃屬,Garcinia,山竹,Garcinia mangostana,山竹：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 金虎尾目(Malpighiales) > 藤黃科(Clusiaceae) > 藤黃屬(Garcinia) > 山竹(Garcinia mangostana)
木薯,,,,,,,,10/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,金虎尾目,Malpighiales,大𦻝科,Euphorbiaceae,巴豆亞科,Crotonoideae,木薯屬,Manihot,木薯,Manihot esculenta,木薯：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 金虎尾目(Malpighiales) > 大𦻝科(Euphorbiaceae) > 巴豆亞科(Crotonoideae) > 木薯屬(Manihot) > 木薯(Manihot esculenta)
亞麻（亞麻籽）,,,,,,,,11/4/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,金虎尾目,Malpighiales,亞麻科,Linaceae,,,亞麻屬,Linum,亞麻,Linum usitatissimum,亞麻（亞麻籽）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 金虎尾目(Malpighiales) > 亞麻科(Linaceae) > 亞麻屬(Linum) > 亞麻(Linum usitatissimum)
西番蓮/百香果,,,,,,,,8/30/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,金虎尾目,Malpighiales,西番蓮科,Passifloraceae,,,西番蓮屬,Passiflora,西番蓮,Passiflora edulis,西番蓮/百香果：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 金虎尾目(Malpighiales) > 西番蓮科(Passifloraceae) > 西番蓮屬(Passiflora) > 西番蓮(Passiflora edulis)
餘甘子,,,,,,,,10/17/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,金虎尾目,Malpighiales,葉下珠科,Phyllanthaceae,葉下珠亞科,Phyllanthoideae,葉下珠屬,Phyllanthus,餘甘子,Phyllanthus emblica,餘甘子：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 金虎尾目(Malpighiales) > 葉下珠科(Phyllanthaceae) > 葉下珠亞科(Phyllanthoideae) > 葉下珠屬(Phyllanthus) > 餘甘子(Phyllanthus emblica)
守宮木/甜菜,,,,,,,,8/15/19,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,金虎尾目,Malpighiales,葉下珠科,Phyllanthaceae,葉下珠亞科,Phyllanthoideae,守宮木屬,Sauropus,守宮木,Sauropus androgynus,守宮木/甜菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 金虎尾目(Malpighiales) > 葉下珠科(Phyllanthaceae) > 葉下珠亞科(Phyllanthoideae) > 守宮木屬(Sauropus) > 守宮木(Sauropus androgynus)
可可,,,,,,,,9/3/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,錦葵目,Malvales,錦葵科,Malvaceae,刺果藤亞科,Byttnerioideae,可可屬,Theobroma,可可,Theobroma cacao,可可：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 錦葵目(Malvales) > 錦葵科(Malvaceae) > 刺果藤亞科(Byttnerioideae) > 可可屬(Theobroma) > 可可(Theobroma cacao)
榴槤,durian,,,,,,,10/4/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,錦葵目,Malvales,錦葵科,Malvaceae,山芝麻亞科,Helicteroideae,榴槤屬,Durio,榴槤,Durio zibethinus,榴槤：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 錦葵目(Malvales) > 錦葵科(Malvaceae) > 山芝麻亞科(Helicteroideae) > 榴槤屬(Durio) > 榴槤(Durio zibethinus)
秋葵,,,,,,,,9/6/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,錦葵目,Malvales,錦葵科,Malvaceae,錦葵亞科,Malvoideae,秋葵屬,Abelmoschus,秋葵,Abelmoschus esculentus,秋葵：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 錦葵目(Malvales) > 錦葵科(Malvaceae) > 錦葵亞科(Malvoideae) > 秋葵屬(Abelmoschus) > 秋葵(Abelmoschus esculentus)
玫瑰茄,,,,,,,,10/3/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,錦葵目,Malvales,錦葵科,Malvaceae,錦葵亞科,Malvoideae,木槿屬,Hibiscus,玫瑰茄,Hibiscus sabdariffa,玫瑰茄：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 錦葵目(Malvales) > 錦葵科(Malvaceae) > 錦葵亞科(Malvoideae) > 木槿屬(Hibiscus) > 玫瑰茄(Hibiscus sabdariffa)
胖大海,,,,,,,,10/17/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,錦葵目,Malvales,錦葵科,Malvaceae,梧桐亞科,Sterculioideae,胖大海屬,Scaphium,胖大海,Scaphium lychnophorum,胖大海：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 錦葵目(Malvales) > 錦葵科(Malvaceae) > 梧桐亞科(Sterculioideae) > 胖大海屬(Scaphium) > 胖大海(Scaphium lychnophorum)
石榴,,,,,,,,9/13/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,桃金娘目,Myrtales,千屈菜科,Lythraceae,,,石榴屬,Punica,石榴,Punica granatum,石榴：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 桃金娘目(Myrtales) > 千屈菜科(Lythraceae) > 石榴屬(Punica) > 石榴(Punica granatum)
